"Tab","Button","Section","Source","CurrentPlacementWhy","AlternateTab","AlternatePlacementJustification","PlacementAssessment","Description"
"Clean Up","recuva.portable","Data Recovery","Custom Tool","This tab is for cleanup, uninstaller, registry cleanup, file leftovers, and space-recovery tools.","Software","Cleanup utilities are software tools, but Clean Up is clearer for technician intent.","Current placement appears reasonable.","Recover accidentally deleted files from local storage."
"Clean Up","BleachBit","Disk Cleanup","Custom Tool","This tab is for cleanup, uninstaller, registry cleanup, file leftovers, and space-recovery tools.","Software","Cleanup utilities are software tools, but Clean Up is clearer for technician intent.","Current placement appears reasonable.","Clean temporary files, browser caches, and application leftovers."
"Clean Up","CCleaner","Disk Cleanup","Custom Tool","This tab is for cleanup, uninstaller, registry cleanup, file leftovers, and space-recovery tools.","Software","Cleanup utilities are software tools, but Clean Up is clearer for technician intent.","Current placement appears reasonable.","Run CCleaner for temporary-file and application cleanup checks."
"Clean Up","LockHunter","Locked Files","Custom Tool","This tab is for cleanup, uninstaller, registry cleanup, file leftovers, and space-recovery tools.","Software","Cleanup utilities are software tools, but Clean Up is clearer for technician intent.","Current placement appears reasonable.","Find and release file or folder locks that block delete, rename, or move operations."
"Clean Up","Wise Registry Cleaner","Registry Cleanup","Custom Tool","This tab is for cleanup, uninstaller, registry cleanup, file leftovers, and space-recovery tools.","Software","Cleanup utilities are software tools, but Clean Up is clearer for technician intent.","Current placement appears reasonable.","Review registry cleanup findings before making changes."
"Clean Up","Bulk Uninstaller","Uninstall And Leftovers","ToolCatalog","This tab is for cleanup, uninstaller, registry cleanup, file leftovers, and space-recovery tools.","Software","Cleanup utilities are software tools, but Clean Up is clearer for technician intent.","Current placement appears reasonable.","Launch Bulk Crap Uninstaller for reviewing and removing installed applications, leftovers, and vendor bloat."
"Clean Up","Revo Uninstaller","Uninstall And Leftovers","Custom Tool","This tab is for cleanup, uninstaller, registry cleanup, file leftovers, and space-recovery tools.","Software","Cleanup utilities are software tools, but Clean Up is clearer for technician intent.","Current placement appears reasonable.","Remove installed programs and scan for leftovers."
"Computer Info","Delete","Computer Profiles","GUI Hard-coded","This tab is for saved computer profiles and fingerprint-style machine information.","Quick Diagnosis","Computer profile output is produced by Quick Diagnosis, so that tab is a logical alternate.","Current placement appears reasonable.","Computer profile action: Delete."
"Computer Info","Open HTML Report","Computer Profiles","GUI Hard-coded","This tab is for saved computer profiles and fingerprint-style machine information.","Quick Diagnosis","Computer profile output is produced by Quick Diagnosis, so that tab is a logical alternate.","Current placement appears reasonable.","Computer profile action: Open HTML Report."
"Computer Info","Refresh","Computer Profiles","GUI Hard-coded","This tab is for saved computer profiles and fingerprint-style machine information.","Quick Diagnosis","Computer profile output is produced by Quick Diagnosis, so that tab is a logical alternate.","Current placement appears reasonable.","Computer profile action: Refresh."
"Computer Info","Take Fingerprint","Computer Profiles","GUI Hard-coded","This tab is for saved computer profiles and fingerprint-style machine information.","Quick Diagnosis","Computer profile output is produced by Quick Diagnosis, so that tab is a logical alternate.","Current placement appears reasonable.","Computer profile action: Take Fingerprint."
"Custom","Launch Toolkit Tool","Toolkit App Management","GUI Hard-coded","This tab is for managing toolkit-installed portable apps, their launch status, removal, and tab placement.","Settings","Custom tool tab placement is configuration-like, though launch/removal belongs on Custom.","Current placement appears reasonable.","Custom toolkit app management action: Launch Toolkit Tool."
"Custom","Open Location","Toolkit App Management","GUI Hard-coded","This tab is for managing toolkit-installed portable apps, their launch status, removal, and tab placement.","Settings","Custom tool tab placement is configuration-like, though launch/removal belongs on Custom.","Current placement appears reasonable.","Custom toolkit app management action: Open Location."
"Custom","Refresh Toolkit Tools","Toolkit App Management","GUI Hard-coded","This tab is for managing toolkit-installed portable apps, their launch status, removal, and tab placement.","Settings","Custom tool tab placement is configuration-like, though launch/removal belongs on Custom.","Current placement appears reasonable.","Custom toolkit app management action: Refresh Toolkit Tools."
"Custom","Remove From Toolkit","Toolkit App Management","GUI Hard-coded","This tab is for managing toolkit-installed portable apps, their launch status, removal, and tab placement.","Settings","Custom tool tab placement is configuration-like, though launch/removal belongs on Custom.","Current placement appears reasonable.","Custom toolkit app management action: Remove From Toolkit."
"Custom","Set Tab Placement","Toolkit App Management","GUI Hard-coded","This tab is for managing toolkit-installed portable apps, their launch status, removal, and tab placement.","Settings","Custom tool tab placement is configuration-like, though launch/removal belongs on Custom.","Current placement appears reasonable.","Custom toolkit app management action: Set Tab Placement."
"Custom","Bulk Uninstaller","Toolkit Apps","Custom Tool","This tab is for managing toolkit-installed portable apps, their launch status, removal, and tab placement.","Settings","Custom tool tab placement is configuration-like, though launch/removal belongs on Custom.","Needs review because no explicit placement rule exists.","Toolkit-installed portable application."
"Directory","Domain Logon Health","Domain And Policy","ToolCatalog","This tab is for domain, Active Directory, secure channel, and Group Policy checks.","Services","Domain, GPO, and DC discovery are infrastructure services from the workstation perspective.","Current placement appears reasonable.","Checks domain membership, secure channel, and domain controller discovery."
"Directory","GPO Health","Domain And Policy","ToolCatalog","This tab is for domain, Active Directory, secure channel, and Group Policy checks.","Services","Domain, GPO, and DC discovery are infrastructure services from the workstation perspective.","Current placement appears reasonable.","Runs a computer-scope Group Policy result summary."
"Directory","ADExplorer","Sysinternals","Sysinternals Auto-map","This tab is for domain, Active Directory, secure channel, and Group Policy checks.","Services","Domain, GPO, and DC discovery are infrastructure services from the workstation perspective.","Auto-mapped by Sysinternals category; review if technician workflow suggests a more direct tab.","Sysinternals Active Directory utility."
"Directory","ADInsight","Sysinternals","Sysinternals Auto-map","This tab is for domain, Active Directory, secure channel, and Group Policy checks.","Services","Domain, GPO, and DC discovery are infrastructure services from the workstation perspective.","Auto-mapped by Sysinternals category; review if technician workflow suggests a more direct tab.","Sysinternals Active Directory utility."
"Directory","adrestore","Sysinternals","Sysinternals Auto-map","This tab is for domain, Active Directory, secure channel, and Group Policy checks.","Services","Domain, GPO, and DC discovery are infrastructure services from the workstation perspective.","Auto-mapped by Sysinternals category; review if technician workflow suggests a more direct tab.","Sysinternals Active Directory utility."
"Discovery","WhatChanged","Change Tracking","Custom Tool","This tab is for finding hosts, services, subnets, ARP neighbors, wake targets, and change state.","Network","Discovery tools are network-adjacent and could be consolidated under Network.","Current placement appears reasonable.","Snapshot and compare file and registry changes."
"Discovery","ARP Inventory Exporter","Discovery","ToolCatalog","This tab is for finding hosts, services, subnets, ARP neighbors, wake targets, and change state.","Network","Discovery tools are network-adjacent and could be consolidated under Network.","Current placement appears reasonable.","Exports local ARP neighbor inventory for quick review."
"Discovery","Network Discovery","Discovery","ToolCatalog","This tab is for finding hosts, services, subnets, ARP neighbors, wake targets, and change state.","Network","Discovery tools are network-adjacent and could be consolidated under Network.","Current placement appears reasonable.","Discovers local network neighbors and common network details."
"Discovery","Port and Service Test","Discovery","ToolCatalog","This tab is for finding hosts, services, subnets, ARP neighbors, wake targets, and change state.","Network","Discovery tools are network-adjacent and could be consolidated under Network.","Current placement appears reasonable.","Fingerprints common service ports on a target."
"Discovery","Service Fingerprinter","Discovery","ToolCatalog","This tab is for finding hosts, services, subnets, ARP neighbors, wake targets, and change state.","Network","Discovery tools are network-adjacent and could be consolidated under Network.","Current placement appears reasonable.","Runs deeper service fingerprinting against selected targets."
"Discovery","Subnet Calculator","Utilities","ToolCatalog","This tab is for finding hosts, services, subnets, ARP neighbors, wake targets, and change state.","Network","Discovery tools are network-adjacent and could be consolidated under Network.","Current placement appears reasonable.","Calculates subnet ranges, masks, and host counts."
"Discovery","Wake-on-LAN Tool","Utilities","ToolCatalog","This tab is for finding hosts, services, subnets, ARP neighbors, wake targets, and change state.","Network","Discovery tools are network-adjacent and could be consolidated under Network.","Current placement appears reasonable.","Sends a Wake-on-LAN magic packet."
"Files","Handle","Compare And Manage","ToolCatalog","This tab is for file search, disk usage, file comparison, file locks, and file-level utilities.","Processes","File lock work often identifies the owning process.","Current placement appears reasonable.","Find which process has a file, folder, registry key, or object open."
"Files","Kudu","Compare And Manage","ToolCatalog","This tab is for file search, disk usage, file comparison, file locks, and file-level utilities.","Clean Up","Disk space and file utilities often support cleanup work.","Current placement appears reasonable.","Open a portable file manager for browsing and working with local files."
"Files","PsExec","Compare And Manage","ToolCatalog","This tab is for file search, disk usage, file comparison, file locks, and file-level utilities.","Clean Up","Disk space and file utilities often support cleanup work.","Current placement appears reasonable.","Run commands locally or remotely when troubleshooting admin access and remote execution."
"Files","WinMerge","Compare And Manage","ToolCatalog","This tab is for file search, disk usage, file comparison, file locks, and file-level utilities.","Clean Up","Disk space and file utilities often support cleanup work.","Current placement appears reasonable.","Compare and merge files or folders."
"Files","Everything","Search And Space","ToolCatalog","This tab is for file search, disk usage, file comparison, file locks, and file-level utilities.","Clean Up","Disk space and file utilities often support cleanup work.","Current placement appears reasonable.","Launch Everything for instant local filename search."
"Files","WinDirStat","Search And Space","ToolCatalog","This tab is for file search, disk usage, file comparison, file locks, and file-level utilities.","Clean Up","Disk space and file utilities often support cleanup work.","Current placement appears reasonable.","Launch WinDirStat to visualize disk usage and large folders."
"Files","WizTree","Search And Space","ToolCatalog","This tab is for file search, disk usage, file comparison, file locks, and file-level utilities.","Clean Up","Disk space and file utilities often support cleanup work.","Current placement appears reasonable.","Launch WizTree for fast disk space analysis."
"Files","Contig","Sysinternals","Sysinternals Auto-map","This tab is for file search, disk usage, file comparison, file locks, and file-level utilities.","Clean Up","Disk space and file utilities often support cleanup work.","Auto-mapped by Sysinternals category; review if technician workflow suggests a more direct tab.","Sysinternals Disk And File utility."
"Files","disk2vhd","Sysinternals","Sysinternals Auto-map","This tab is for file search, disk usage, file comparison, file locks, and file-level utilities.","Clean Up","Disk space and file utilities often support cleanup work.","Auto-mapped by Sysinternals category; review if technician workflow suggests a more direct tab.","Sysinternals Disk And File utility."
"Files","diskext","Sysinternals","Sysinternals Auto-map","This tab is for file search, disk usage, file comparison, file locks, and file-level utilities.","Clean Up","Disk space and file utilities often support cleanup work.","Auto-mapped by Sysinternals category; review if technician workflow suggests a more direct tab.","Sysinternals Disk And File utility."
"Files","Diskmon","Sysinternals","Sysinternals Auto-map","This tab is for file search, disk usage, file comparison, file locks, and file-level utilities.","Clean Up","Disk space and file utilities often support cleanup work.","Auto-mapped by Sysinternals category; review if technician workflow suggests a more direct tab.","Sysinternals Disk And File utility."
"Files","DiskView","Sysinternals","Sysinternals Auto-map","This tab is for file search, disk usage, file comparison, file locks, and file-level utilities.","Clean Up","Disk space and file utilities often support cleanup work.","Auto-mapped by Sysinternals category; review if technician workflow suggests a more direct tab.","Sysinternals Disk And File utility."
"Files","du","Sysinternals","Sysinternals Auto-map","This tab is for file search, disk usage, file comparison, file locks, and file-level utilities.","Clean Up","Disk space and file utilities often support cleanup work.","Auto-mapped by Sysinternals category; review if technician workflow suggests a more direct tab.","Sysinternals Disk And File utility."
"Files","FindLinks","Sysinternals","Sysinternals Auto-map","This tab is for file search, disk usage, file comparison, file locks, and file-level utilities.","Clean Up","Disk space and file utilities often support cleanup work.","Auto-mapped by Sysinternals category; review if technician workflow suggests a more direct tab.","Sysinternals Disk And File utility."
"Files","junction","Sysinternals","Sysinternals Auto-map","This tab is for file search, disk usage, file comparison, file locks, and file-level utilities.","Clean Up","Disk space and file utilities often support cleanup work.","Auto-mapped by Sysinternals category; review if technician workflow suggests a more direct tab.","Sysinternals Disk And File utility."
"Files","movefile","Sysinternals","Sysinternals Auto-map","This tab is for file search, disk usage, file comparison, file locks, and file-level utilities.","Clean Up","Disk space and file utilities often support cleanup work.","Auto-mapped by Sysinternals category; review if technician workflow suggests a more direct tab.","Sysinternals Disk And File utility."
"Files","ntfsinfo","Sysinternals","Sysinternals Auto-map","This tab is for file search, disk usage, file comparison, file locks, and file-level utilities.","Clean Up","Disk space and file utilities often support cleanup work.","Auto-mapped by Sysinternals category; review if technician workflow suggests a more direct tab.","Sysinternals Disk And File utility."
"Files","pendmoves","Sysinternals","Sysinternals Auto-map","This tab is for file search, disk usage, file comparison, file locks, and file-level utilities.","Clean Up","Disk space and file utilities often support cleanup work.","Auto-mapped by Sysinternals category; review if technician workflow suggests a more direct tab.","Sysinternals Disk And File utility."
"Files","sdelete","Sysinternals","Sysinternals Auto-map","This tab is for file search, disk usage, file comparison, file locks, and file-level utilities.","Clean Up","Disk space and file utilities often support cleanup work.","Auto-mapped by Sysinternals category; review if technician workflow suggests a more direct tab.","Sysinternals Disk And File utility."
"Files","streams","Sysinternals","Sysinternals Auto-map","This tab is for file search, disk usage, file comparison, file locks, and file-level utilities.","Clean Up","Disk space and file utilities often support cleanup work.","Auto-mapped by Sysinternals category; review if technician workflow suggests a more direct tab.","Sysinternals Disk And File utility."
"Files","sync","Sysinternals","Sysinternals Auto-map","This tab is for file search, disk usage, file comparison, file locks, and file-level utilities.","Clean Up","Disk space and file utilities often support cleanup work.","Auto-mapped by Sysinternals category; review if technician workflow suggests a more direct tab.","Sysinternals Disk And File utility."
"Files","Volumeid","Sysinternals","Sysinternals Auto-map","This tab is for file search, disk usage, file comparison, file locks, and file-level utilities.","Clean Up","Disk space and file utilities often support cleanup work.","Auto-mapped by Sysinternals category; review if technician workflow suggests a more direct tab.","Sysinternals Disk And File utility."
"Hardware","BlueScreenView","Crash Analysis","ToolCatalog","This tab is for local device, storage, crash, sensor, and hardware identity checks.","Repair","Crash evidence can drive remediation, so Repair is a defensible alternate.","Current placement appears reasonable.","Open BSOD and minidump details for recent crash troubleshooting."
"Hardware","Minidump Collector","Crash Analysis","ToolCatalog","This tab is for local device, storage, crash, sensor, and hardware identity checks.","Repair","Crash evidence can drive remediation, so Repair is a defensible alternate.","Current placement appears reasonable.","Collects and optionally analyzes recent minidumps and crash evidence."
"Hardware","CrystalDiskInfo","Disk Tools","ToolCatalog","This tab is for local device, storage, crash, sensor, and hardware identity checks.","Quick Diagnosis","Hardware checks feed the walk-up health picture, so the most important ones could be surfaced on Quick Diagnosis.","Current placement appears reasonable.","Inspect SMART, temperature, health status, and disk firmware details."
"Hardware","Disk Health","Hardware Checks","ToolCatalog","This tab is for local device, storage, crash, sensor, and hardware identity checks.","Quick Diagnosis","Hardware checks feed the walk-up health picture, so the most important ones could be surfaced on Quick Diagnosis.","Current placement appears reasonable.","Checks volume free space, physical disk health, and recent disk events."
"Hardware","Hardware Health","Hardware Checks","ToolCatalog","This tab is for local device, storage, crash, sensor, and hardware identity checks.","Quick Diagnosis","Hardware checks feed the walk-up health picture, so the most important ones could be surfaced on Quick Diagnosis.","Current placement appears reasonable.","Checks Device Manager problem devices, storage, battery, memory, and hardware events."
"Hardware","HWiNFO","Hardware Checks","ToolCatalog","This tab is for local device, storage, crash, sensor, and hardware identity checks.","Quick Diagnosis","Hardware checks feed the walk-up health picture, so the most important ones could be surfaced on Quick Diagnosis.","Current placement appears reasonable.","View detailed hardware inventory, sensors, thermals, and component status."
"Hardware","Resource Hotspots","Hardware Checks","ToolCatalog","This tab is for local device, storage, crash, sensor, and hardware identity checks.","Quick Diagnosis","Hardware checks feed the walk-up health picture, so the most important ones could be surfaced on Quick Diagnosis.","Current placement appears reasonable.","Shows top CPU and memory consumers."
"Hardware","CPU-Z","Hardware Inspection","Custom Tool","This tab is for local device, storage, crash, sensor, and hardware identity checks.","Quick Diagnosis","Hardware checks feed the walk-up health picture, so the most important ones could be surfaced on Quick Diagnosis.","Current placement appears reasonable.","Inspect CPU, memory, motherboard, and platform details."
"Hardware","GPU-Z","Hardware Inspection","Custom Tool","This tab is for local device, storage, crash, sensor, and hardware identity checks.","Quick Diagnosis","Hardware checks feed the walk-up health picture, so the most important ones could be surfaced on Quick Diagnosis.","Current placement appears reasonable.","Inspect GPU model, drivers, sensors, and graphics capabilities."
"Hardware","HWMonitor","Hardware Inspection","Custom Tool","This tab is for local device, storage, crash, sensor, and hardware identity checks.","Quick Diagnosis","Hardware checks feed the walk-up health picture, so the most important ones could be surfaced on Quick Diagnosis.","Current placement appears reasonable.","View live hardware voltages, temperatures, fans, and sensor values."
"Hardware","PCI-Z","Hardware Inspection","Custom Tool","This tab is for local device, storage, crash, sensor, and hardware identity checks.","Quick Diagnosis","Hardware checks feed the walk-up health picture, so the most important ones could be surfaced on Quick Diagnosis.","Current placement appears reasonable.","Identify PCI devices and driver/vendor details."
"Hardware","Speccy","Hardware Inspection","Custom Tool","This tab is for local device, storage, crash, sensor, and hardware identity checks.","Quick Diagnosis","Hardware checks feed the walk-up health picture, so the most important ones could be surfaced on Quick Diagnosis.","Current placement appears reasonable.","Open Speccy for quick hardware and OS inventory."
"Hardware","QuickMemoryTestOK","Hardware Testing","Custom Tool","This tab is for local device, storage, crash, sensor, and hardware identity checks.","Quick Diagnosis","Hardware checks feed the walk-up health picture, so the most important ones could be surfaced on Quick Diagnosis.","Current placement appears reasonable.","Run a quick memory stress and validation test."
"Hardware","SSD-Z","Storage","Custom Tool","This tab is for local device, storage, crash, sensor, and hardware identity checks.","Quick Diagnosis","Hardware checks feed the walk-up health picture, so the most important ones could be surfaced on Quick Diagnosis.","Current placement appears reasonable.","Inspect SSD identity, SMART data, and storage health details."
"Hardware","Bginfo","Sysinternals","Sysinternals Auto-map","This tab is for local device, storage, crash, sensor, and hardware identity checks.","Quick Diagnosis","Hardware checks feed the walk-up health picture, so the most important ones could be surfaced on Quick Diagnosis.","Auto-mapped by Sysinternals category; review if technician workflow suggests a more direct tab.","Sysinternals System Inspection utility."
"Hardware","Cacheset","Sysinternals","Sysinternals Auto-map","This tab is for local device, storage, crash, sensor, and hardware identity checks.","Quick Diagnosis","Hardware checks feed the walk-up health picture, so the most important ones could be surfaced on Quick Diagnosis.","Auto-mapped by Sysinternals category; review if technician workflow suggests a more direct tab.","Sysinternals System Inspection utility."
"Hardware","Clockres","Sysinternals","Sysinternals Auto-map","This tab is for local device, storage, crash, sensor, and hardware identity checks.","Quick Diagnosis","Hardware checks feed the walk-up health picture, so the most important ones could be surfaced on Quick Diagnosis.","Auto-mapped by Sysinternals category; review if technician workflow suggests a more direct tab.","Sysinternals System Inspection utility."
"Hardware","Coreinfo","Sysinternals","Sysinternals Auto-map","This tab is for local device, storage, crash, sensor, and hardware identity checks.","Quick Diagnosis","Hardware checks feed the walk-up health picture, so the most important ones could be surfaced on Quick Diagnosis.","Auto-mapped by Sysinternals category; review if technician workflow suggests a more direct tab.","Sysinternals System Inspection utility."
"Hardware","CoreinfoEx","Sysinternals","Sysinternals Auto-map","This tab is for local device, storage, crash, sensor, and hardware identity checks.","Quick Diagnosis","Hardware checks feed the walk-up health picture, so the most important ones could be surfaced on Quick Diagnosis.","Auto-mapped by Sysinternals category; review if technician workflow suggests a more direct tab.","Sysinternals System Inspection utility."
"Hardware","Dbgview","Sysinternals","Sysinternals Auto-map","This tab is for local device, storage, crash, sensor, and hardware identity checks.","Quick Diagnosis","Hardware checks feed the walk-up health picture, so the most important ones could be surfaced on Quick Diagnosis.","Auto-mapped by Sysinternals category; review if technician workflow suggests a more direct tab.","Sysinternals System Inspection utility."
"Hardware","Desktops","Sysinternals","Sysinternals Auto-map","This tab is for local device, storage, crash, sensor, and hardware identity checks.","Quick Diagnosis","Hardware checks feed the walk-up health picture, so the most important ones could be surfaced on Quick Diagnosis.","Auto-mapped by Sysinternals category; review if technician workflow suggests a more direct tab.","Sysinternals System Inspection utility."
"Hardware","livekd","Sysinternals","Sysinternals Auto-map","This tab is for local device, storage, crash, sensor, and hardware identity checks.","Quick Diagnosis","Hardware checks feed the walk-up health picture, so the most important ones could be surfaced on Quick Diagnosis.","Auto-mapped by Sysinternals category; review if technician workflow suggests a more direct tab.","Sysinternals System Inspection utility."
"Hardware","RDCMan","Sysinternals","Sysinternals Auto-map","This tab is for local device, storage, crash, sensor, and hardware identity checks.","Quick Diagnosis","Hardware checks feed the walk-up health picture, so the most important ones could be surfaced on Quick Diagnosis.","Auto-mapped by Sysinternals category; review if technician workflow suggests a more direct tab.","Sysinternals System Inspection utility."
"Hardware","vmmap","Sysinternals","Sysinternals Auto-map","This tab is for local device, storage, crash, sensor, and hardware identity checks.","Quick Diagnosis","Hardware checks feed the walk-up health picture, so the most important ones could be surfaced on Quick Diagnosis.","Auto-mapped by Sysinternals category; review if technician workflow suggests a more direct tab.","Sysinternals System Inspection utility."
"Hardware","Winobj","Sysinternals","Sysinternals Auto-map","This tab is for local device, storage, crash, sensor, and hardware identity checks.","Quick Diagnosis","Hardware checks feed the walk-up health picture, so the most important ones could be surfaced on Quick Diagnosis.","Auto-mapped by Sysinternals category; review if technician workflow suggests a more direct tab.","Sysinternals System Inspection utility."
"Hardware","ZoomIt","Sysinternals","Sysinternals Auto-map","This tab is for local device, storage, crash, sensor, and hardware identity checks.","Quick Diagnosis","Hardware checks feed the walk-up health picture, so the most important ones could be surfaced on Quick Diagnosis.","Auto-mapped by Sysinternals category; review if technician workflow suggests a more direct tab.","Sysinternals System Inspection utility."
"Live Log","Clear Log","Runtime Log","GUI Hard-coded","This tab is for toolkit runtime feedback and troubleshooting the toolkit itself.","Reports","Runtime logs are outputs, though not technician-facing discovery reports.","Current placement appears reasonable.","Live log action: Clear Log."
"Live Log","Copy Log","Runtime Log","GUI Hard-coded","This tab is for toolkit runtime feedback and troubleshooting the toolkit itself.","Reports","Runtime logs are outputs, though not technician-facing discovery reports.","Current placement appears reasonable.","Live log action: Copy Log."
"Network","Adapter Route Health","Connectivity","ToolCatalog","This tab is for endpoint connectivity, routes, DNS path, ports, packet capture, and live network behavior.","Services","This also relates to infrastructure service behavior.","Current placement appears reasonable.","Reviews adapters, IP settings, gateway routes, and DNS configuration."
"Network","Connectivity Triage","Connectivity","ToolCatalog","This tab is for endpoint connectivity, routes, DNS path, ports, packet capture, and live network behavior.","Services","This also relates to infrastructure service behavior.","Current placement appears reasonable.","Runs fast gateway, DNS, route, and target reachability checks."
"Network","Live Route Trace","Connectivity","ToolCatalog","This tab is for endpoint connectivity, routes, DNS path, ports, packet capture, and live network behavior.","Discovery","Connectivity checks often lead directly into discovering services, routes, and neighbors.","Current placement appears reasonable.","Shows a live route trace to help find where traffic slows or fails."
"Network","Packet Loss Monitor","Connectivity","ToolCatalog","This tab is for endpoint connectivity, routes, DNS path, ports, packet capture, and live network behavior.","Discovery","Connectivity checks often lead directly into discovering services, routes, and neighbors.","Current placement appears reasonable.","Runs a live packet loss check against a selected target."
"Network","WinMTR","Connectivity","ToolCatalog","This tab is for endpoint connectivity, routes, DNS path, ports, packet capture, and live network behavior.","Discovery","Connectivity checks often lead directly into discovering services, routes, and neighbors.","Current placement appears reasonable.","Run continuous traceroute and packet loss monitoring to a target."
"Network","FastResolver","Name Resolution","Custom Tool","This tab is for endpoint connectivity, routes, DNS path, ports, packet capture, and live network behavior.","Discovery","Connectivity checks often lead directly into discovering services, routes, and neighbors.","Current placement appears reasonable.","Quickly resolve hostnames and IP addresses across a range."
"Network","Wireshark","Packet Capture","ToolCatalog","This tab is for endpoint connectivity, routes, DNS path, ports, packet capture, and live network behavior.","Discovery","Connectivity checks often lead directly into discovering services, routes, and neighbors.","Current placement appears reasonable.","Open packet capture and protocol analysis for live or saved captures."
"Network","WinMTR","Path Testing","Custom Tool","This tab is for endpoint connectivity, routes, DNS path, ports, packet capture, and live network behavior.","Services","This also relates to infrastructure service behavior.","Current placement appears reasonable.","Trace route quality and packet loss over time."
"Network","psfile","Sysinternals","Sysinternals Auto-map","This tab is for endpoint connectivity, routes, DNS path, ports, packet capture, and live network behavior.","Discovery","Connectivity checks often lead directly into discovering services, routes, and neighbors.","Auto-mapped by Sysinternals category; review if technician workflow suggests a more direct tab.","Sysinternals Network utility."
"Network","PsLoggedon","Sysinternals","Sysinternals Auto-map","This tab is for endpoint connectivity, routes, DNS path, ports, packet capture, and live network behavior.","Discovery","Connectivity checks often lead directly into discovering services, routes, and neighbors.","Auto-mapped by Sysinternals category; review if technician workflow suggests a more direct tab.","Sysinternals Network utility."
"Network","tcpvcon","Sysinternals","Sysinternals Auto-map","This tab is for endpoint connectivity, routes, DNS path, ports, packet capture, and live network behavior.","Discovery","Connectivity checks often lead directly into discovering services, routes, and neighbors.","Auto-mapped by Sysinternals category; review if technician workflow suggests a more direct tab.","Sysinternals Network utility."
"Network","whois","Sysinternals","Sysinternals Auto-map","This tab is for endpoint connectivity, routes, DNS path, ports, packet capture, and live network behavior.","Discovery","Connectivity checks often lead directly into discovering services, routes, and neighbors.","Auto-mapped by Sysinternals category; review if technician workflow suggests a more direct tab.","Sysinternals Network utility."
"Network","DNS Path Test","Target Testing","ToolCatalog","This tab is for endpoint connectivity, routes, DNS path, ports, packet capture, and live network behavior.","Services","This also relates to infrastructure service behavior.","Current placement appears reasonable.","Checks DNS resolution path and resolver behavior."
"Network","Port Reachability Matrix","Target Testing","ToolCatalog","This tab is for endpoint connectivity, routes, DNS path, ports, packet capture, and live network behavior.","Discovery","Connectivity checks often lead directly into discovering services, routes, and neighbors.","Current placement appears reasonable.","Tests a target against a list of common or custom TCP ports."
"Network","PsPing","Target Testing","ToolCatalog","This tab is for endpoint connectivity, routes, DNS path, ports, packet capture, and live network behavior.","Discovery","Connectivity checks often lead directly into discovering services, routes, and neighbors.","Current placement appears reasonable.","Measure ICMP/TCP latency and connectivity from Sysinternals."
